# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),CP location (cm),CG location (cm),Stability margin calibers (?)
0,0,0,0.78936,0,0,NaN,214.24,NaN
0.01,3.9468e-5,0.0078936,21.952,0,0,NaN,214.24,NaN
0.02,0.0012162,0.22746,40.38,0,0,NaN,214.22,NaN
0.03,0.0055101,0.63135,55.409,0,0,NaN,214.21,NaN
0.04,0.014595,1.1856,65.079,0,0,NaN,214.18,NaN
0.05,0.029705,1.8366,74.048,0,0,NaN,214.15,NaN
0.06,0.051775,2.5774,83.421,0,0,NaN,214.12,NaN
0.07,0.081721,3.412,93.199,0,0,NaN,214.07,NaN
0.08,0.1205,4.3444,97.515,0,0,NaN,214.03,NaN
0.09,0.16882,5.32,96.355,0,0,NaN,213.98,NaN
0.1,0.22684,6.284,95.195,0,0,NaN,213.94,NaN
0.11,0.29445,7.2364,94.033,0,0,NaN,213.89,NaN
0.12,0.37151,8.1772,92.869,0,0,NaN,213.84,NaN
0.13,0.45793,9.1063,91.547,0,0,NaN,213.8,NaN
0.14,0.55357,10.022,89.901,0,0,NaN,213.75,NaN
0.15,0.65829,10.922,88.821,0,0,NaN,213.7,NaN
0.16,0.77195,11.81,88.315,0,0,NaN,213.66,NaN
0.17,0.89447,12.694,87.806,0,0,NaN,213.61,NaN
0.18,1.0258,13.572,87.296,0,0,NaN,213.57,NaN
0.19,1.1659,14.446,86.785,0,0,NaN,213.52,NaN
0.2,1.3147,15.314,86.568,0,0,NaN,213.48,NaN
0.21,1.4722,16.18,86.645,0,0,NaN,213.44,NaN
0.22,1.6383,17.047,86.722,0,0,NaN,213.39,NaN
0.23,1.8131,17.914,86.799,0,0,NaN,213.35,NaN
0.24,1.9966,18.783,86.875,0,0,NaN,213.3,NaN
0.25,2.1888,19.652,86.951,0,0,NaN,213.26,NaN
0.26,2.3896,20.522,87.045,0,0,NaN,213.21,NaN
0.27,2.5992,21.392,87.254,0,0,NaN,213.17,NaN
0.28,2.8175,22.265,87.482,0,0,NaN,213.12,NaN
0.29,3.0445,23.14,87.71,0,0,NaN,213.08,NaN
0.3,3.2803,24.018,87.937,0,0,NaN,213.03,NaN
0.31,3.5249,24.898,88.164,0,0,NaN,212.99,NaN
0.32,3.7783,25.78,88.39,0,0,NaN,212.94,NaN
0.33,4.0405,26.664,88.617,0,0,NaN,212.9,NaN
0.34,4.3115,27.55,88.842,0,0,NaN,212.85,NaN
0.35,4.5915,28.439,88.834,0,0,NaN,212.81,NaN
0.36,4.8803,29.328,88.591,0,0,NaN,212.77,NaN
0.37,5.178,30.214,88.347,0,0,238.52,212.72,1.4997
0.385,5.6412,31.539,87.898,-3.3893e-5,0,239.38,212.67,1.5532
0.4075,6.3731,33.516,87.22,-2.0964e-4,0,240.39,212.58,1.6167
0.44125,7.5539,36.458,86.194,-7.5244e-4,0,241.18,212.46,1.6701
0.49125,9.4844,40.764,84.66,-0.0021855,0,241.85,212.27,1.7197
0.54125,11.629,45.003,83.664,-0.0043804,0,242.42,212.04,1.7659
0.59125,13.983,49.192,83.199,-0.0072929,3.0854e-8,243.31,211.82,1.8308
0.64125,16.547,53.358,82.725,-0.010756,9.4111e-8,244.27,211.6,1.8992
0.69125,19.319,57.499,82.344,-0.01448,1.7635e-7,245.38,211.38,1.9767
0.74125,22.297,61.621,82.193,-0.01805,2.5575e-7,246.29,211.16,2.0426
0.79125,25.48,65.734,82.054,-0.020967,3.1078e-7,247.1,210.94,2.1024
0.84125,28.87,69.841,81.896,-0.022661,3.4596e-7,247.76,210.72,2.1535
0.89125,32.464,73.938,81.719,-0.022508,3.4155e-7,248.18,210.5,2.1907
0.94125,36.263,78.027,81.524,-0.019855,2.8337e-7,248.67,210.28,2.2318
0.99125,40.267,82.105,81.31,-0.013967,1.0771e-7,249.22,210.06,2.2769
1.0413,44.474,86.172,81.076,-0.0039996,-2.7357e-7,250.07,209.84,2.339
1.0913,48.884,90.227,80.822,0.011024,-9.1759e-7,250.55,209.61,2.3802
1.1413,53.496,94.269,80.547,0.032077,-1.8617e-6,250,209.39,2.361
1.1913,58.31,98.296,80.252,0.060163,-3.2147e-6,249.33,209.16,2.3356
1.2413,63.326,102.31,79.933,0.096343,-5.0626e-6,248.83,208.93,2.32
1.2913,68.541,106.3,79.585,0.14161,-7.4489e-6,248.52,208.7,2.315
1.3413,73.956,110.28,79.221,0.19681,-1.0335e-5,248.43,208.47,2.3229
1.3913,79.569,114.24,78.839,0.26259,-1.3601e-5,248.23,208.24,2.3248
1.4413,85.379,118.18,78.443,0.33949,-1.7141e-5,248.16,208.01,2.3342
1.4913,91.387,122.1,78.034,0.42788,-2.0843e-5,248.18,207.78,2.3489
1.5413,97.589,126,77.62,0.52784,-2.4564e-5,248.64,207.54,2.3896
1.5913,103.99,129.88,77.188,0.63899,-2.8062e-5,248.92,207.31,2.4192
1.6413,110.58,133.74,76.748,0.76076,-3.1091e-5,249.55,207.07,2.47
1.6913,117.36,137.57,76.25,0.89222,-3.3224e-5,250.17,206.83,2.5199
1.7413,124.33,141.38,75.656,1.0322,-3.4041e-5,250.86,206.59,2.5736
1.7913,131.5,145.16,75.014,1.1793,-3.2889e-5,250.2,206.36,2.5487
1.8413,138.85,148.9,74.265,1.3322,-2.9284e-5,249.88,206.13,2.5441
1.8913,146.39,152.61,73.486,1.4897,-2.3072e-5,249.6,205.89,2.5409
1.9413,154.11,156.28,72.686,1.651,-1.3797e-5,249.41,205.66,2.5434
1.9913,162.01,159.9,71.867,1.8153,-7.2442e-7,249.43,205.42,2.5584
2.0413,170.1,163.49,71.031,1.9824,1.6973e-5,249.54,205.19,2.5786
2.0913,178.36,167.03,70.177,2.1523,3.9665e-5,249.89,204.95,2.6125
2.1413,186.8,170.53,69.302,2.3258,6.7681e-5,250.43,204.71,2.6583
2.1913,195.41,173.99,68.398,2.5039,1.0079e-4,251.08,204.47,2.7098
2.2413,204.2,177.4,67.478,2.6881,1.3796e-4,250.86,204.23,2.7112
2.2913,213.15,180.76,66.541,2.8795,1.7757e-4,250.51,203.99,2.7048
2.3413,222.27,184.08,65.594,3.0793,2.1755e-4,250.25,203.74,2.704
2.3913,231.56,187.35,64.646,3.2883,2.5549e-4,250.3,203.5,2.7209
2.4412,241.01,190.57,63.682,3.5068,2.8915e-4,250.31,203.25,2.7358
2.4912,250.61,193.74,62.632,3.735,3.1722e-4,250.4,203.01,2.7555
2.5412,260.38,196.86,61.513,3.9725,3.3923e-4,250.97,202.77,2.8024
2.5912,270.3,199.93,60.377,4.2179,3.5656e-4,251.55,202.54,2.8494
2.6412,280.37,202.94,59.228,4.4696,3.7139e-4,251.25,202.32,2.8449
2.6912,290.59,205.89,58.064,4.7261,3.8633e-4,250.94,202.09,2.8404
2.7412,300.96,208.78,56.887,4.986,4.0406e-4,250.84,201.86,2.848
2.7912,311.47,211.61,55.7,5.2485,4.2714e-4,250.99,201.62,2.8703
2.8412,322.12,214.38,54.504,5.5137,4.581e-4,251.25,201.39,2.8988
2.8912,332.91,217.09,53.298,5.7822,4.9857e-4,251.76,201.16,2.9421
2.9412,343.83,219.74,52.083,6.0551,5.4775e-4,252.01,200.92,2.9704
2.9912,354.88,222.33,50.861,6.3338,6.0399e-4,251.67,200.69,2.9641
3.0412,366.06,224.86,49.644,6.6198,6.654e-4,251.47,200.45,2.9666
3.0912,377.36,227.33,48.445,6.9138,7.2901e-4,251.54,200.21,2.9841
3.1412,388.79,229.74,47.263,7.2159,7.9298e-4,251.81,199.97,3.0141
3.1912,400.34,232.09,46.091,7.5254,8.557e-4,252.19,199.73,3.0499
3.2412,412,234.39,44.928,7.841,9.1681e-4,252.47,199.49,3.0801
3.2912,423.77,236.62,43.76,8.1609,9.7657e-4,252.16,199.24,3.0765
3.3412,435.66,238.8,42.496,8.4836,0.0010369,252.04,199,3.0837
3.3912,447.65,240.91,39.041,8.8082,0.0010993,252.17,198.76,3.1051
3.4412,459.75,242.85,34.63,9.1345,0.0011646,252.43,198.54,3.1332
3.4912,471.93,244.57,30.254,9.463,0.0012315,252.93,198.35,3.1732
3.5412,484.2,246.07,25.935,9.795,0.0012983,252.74,198.15,3.1737
3.5912,496.53,247.36,21.682,10.131,0.0013643,252.58,197.95,3.1762
3.6412,508.93,248.43,17.499,10.472,0.0014293,252.57,197.75,3.1868
3.6912,521.37,249.3,13.391,10.818,0.0014931,252.74,197.55,3.2082
3.7412,533.85,249.97,9.3168,11.168,0.0015555,252.98,197.35,3.2342
3.7912,546.36,250.44,5.3316,11.52,0.0016181,253.07,197.16,3.2506
3.8412,558.89,250.7,2.7465,11.873,0.0016847,252.72,196.98,3.2404
3.8912,571.43,250.84,0.78718,12.225,0.0017593,252.67,196.83,3.2466
3.9412,583.97,250.88,-1.1501,12.577,0.0018428,252.85,196.69,3.265
3.9912,596.52,250.83,-3.1764,12.928,0.0019325,253.15,196.56,3.2903
4.0412,609.05,250.67,-5.3906,13.279,0.0020225,252.99,196.44,3.2876
4.0912,621.58,250.4,-7.5623,13.631,0.0021085,252.91,196.34,3.2894
4.1412,634.09,250.03,-9.6917,13.985,0.0021874,252.9,196.24,3.2941
4.1912,646.58,249.55,-11.778,14.34,0.0022589,252.98,196.14,3.3046
4.2412,659.04,248.97,-13.831,14.695,0.0023275,252.96,196.04,3.3097
4.2912,671.48,248.29,-15.844,15.051,0.0023975,253.1,195.94,3.3233
4.3412,683.87,247.5,-17.825,15.407,0.002472,253.01,195.84,3.324
4.3912,696.22,246.62,-19.777,15.761,0.0025513,252.85,195.73,3.3204
4.4412,708.53,245.64,-21.702,16.114,0.002633,252.72,195.63,3.3192
4.4912,720.79,244.57,-22.907,16.464,0.0027141,252.64,195.53,3.3205
4.5412,732.99,243.43,-22.788,16.812,0.0027926,252.78,195.44,3.3336
4.5912,745.13,242.3,-22.646,17.159,0.002868,252.89,195.37,3.3443
4.6412,757.22,241.18,-22.513,17.504,0.0029417,252.58,195.29,3.3307
4.6912,769.25,240.07,-22.403,17.849,0.0030148,252.42,195.22,3.3258
4.7412,781.22,238.96,-22.35,18.194,0.0030881,252.39,195.15,3.3278
4.7912,793.14,237.85,-22.299,18.539,0.0031616,252.43,195.1,3.333
4.8412,805.01,236.75,-22.243,18.883,0.0032352,252.7,195.05,3.3516
4.8912,816.82,235.65,-22.195,19.227,0.0033086,252.4,195,3.3372
4.9412,828.57,234.55,-22.163,19.568,0.0033813,252.18,194.95,3.3278
4.9912,840.27,233.45,-22.141,19.907,0.0034531,252.09,194.89,3.3252
5.0412,851.92,232.35,-22.126,20.243,0.0035239,252.1,194.84,3.3291
5.0912,863.51,231.26,-22.124,20.577,0.003594,252.4,194.79,3.3492
5.1412,875.04,230.16,-22.131,20.909,0.0036646,252.28,194.74,3.3451
5.1912,886.52,229.06,-22.137,21.24,0.0037364,252.03,194.69,3.3335
5.2412,897.95,227.96,-22.142,21.572,0.0038104,251.87,194.64,3.3277
5.2912,909.32,226.87,-22.137,21.904,0.0038873,251.96,194.59,3.3357
5.3412,920.63,225.77,-22.132,22.235,0.0039686,252.13,194.53,3.3483
5.3912,931.9,224.67,-22.127,22.566,0.0040551,252.21,194.48,3.3565
5.4412,943.1,223.58,-22.132,22.896,0.0041466,251.98,194.43,3.3457
5.4912,954.25,222.48,-22.146,23.223,0.0042422,251.89,194.38,3.3437
5.5412,965.35,221.38,-22.167,23.549,0.0043404,251.89,194.33,3.3467
5.5912,976.39,220.28,-22.194,23.872,0.0044398,251.98,194.28,3.3552
5.6412,987.38,219.18,-22.223,24.193,0.0045391,252,194.22,3.3591
5.6912,998.31,218.08,-22.255,24.513,0.0046369,251.98,194.17,3.361
5.7412,1009.2,216.98,-22.294,24.831,0.0047328,252.04,194.12,3.3674
5.7912,1020,215.87,-22.347,25.147,0.004827,251.76,194.07,3.3542
5.8412,1030.8,214.76,-22.401,25.464,0.0049195,251.4,194.02,3.3364
5.8912,1041.5,213.65,-22.44,25.78,0.0050114,251.48,193.96,3.3442
5.9412,1052.1,212.54,-22.477,26.096,0.005104,251.65,193.91,3.3568
5.9912,1062.7,211.42,-22.518,26.412,0.0051984,251.81,193.86,3.3691
6.0412,1073.3,210.3,-22.565,26.727,0.005296,251.77,193.81,3.37
6.0912,1083.8,209.18,-22.626,27.04,0.0053978,251.52,193.76,3.3581
6.1412,1094.2,208.06,-22.691,27.351,0.005504,251.32,193.73,3.3483
6.1912,1104.6,206.93,-22.762,27.659,0.0056149,251.29,193.7,3.3483
6.2412,1114.9,205.8,-22.841,27.965,0.0057294,251.44,193.67,3.3589
6.2912,1125.2,204.67,-22.922,28.269,0.0058457,251.54,193.63,3.3665
6.3412,1135.4,203.53,-23.01,28.571,0.0059623,251.68,193.6,3.3765
6.3912,1145.5,202.39,-23.1,28.872,0.0060777,251.38,193.57,3.3614
6.4412,1155.6,201.24,-23.186,29.172,0.006191,251.18,193.54,3.3516
6.4912,1165.6,200.09,-23.218,29.471,0.0063024,251.14,193.51,3.3507
6.5412,1175.6,198.94,-23.234,29.771,0.006412,251.17,193.48,3.3538
6.5912,1185.5,197.78,-23.251,30.07,0.0065213,251.2,193.46,3.3573
6.6412,1195.4,196.63,-23.268,30.368,0.0066322,251.33,193.43,3.366
6.6912,1205.2,195.47,-23.281,30.666,0.0067464,251.36,193.41,3.3694
6.7412,1214.9,194.32,-23.305,30.962,0.0068647,251.06,193.38,3.3532
6.7912,1224.6,193.16,-23.329,31.255,0.0069872,250.78,193.36,3.3382
6.8412,1234.2,192,-23.277,31.546,0.0071132,250.81,193.34,3.3416
6.8912,1243.8,190.85,-23.197,31.834,0.0072417,251,193.32,3.3537
6.9412,1253.3,189.69,-23.121,32.12,0.0073715,251.21,193.3,3.3672
6.9912,1262.8,188.54,-23.053,32.404,0.0075014,251.3,193.28,3.3732
7.0412,1272.2,187.4,-22.989,32.687,0.0076303,250.97,193.26,3.3552
7.0912,1281.5,186.26,-22.922,32.969,0.0077574,250.9,193.25,3.3517
7.1412,1290.8,185.12,-22.86,33.251,0.0078828,250.77,193.23,3.3452
7.1912,1300,183.98,-22.799,33.533,0.0080073,250.69,193.21,3.3418
7.2412,1309.2,182.85,-22.73,33.814,0.0081317,251,193.19,3.3609
7.2912,1318.3,181.72,-22.662,34.094,0.0082573,251.24,193.18,3.3758
7.3412,1327.4,180.59,-22.567,34.373,0.0083847,250.96,193.16,3.3606
7.3912,1336.4,179.47,-22.468,34.651,0.008514,250.84,193.15,3.3545
7.4412,1345.3,178.35,-22.374,34.926,0.0086451,250.75,193.13,3.3498
7.4912,1354.2,177.24,-22.286,35.199,0.0087771,250.76,193.12,3.3509
7.5412,1363.1,176.13,-22.201,35.47,0.0089091,250.73,193.11,3.3501
7.5912,1371.8,175.03,-22.124,35.739,0.0090401,250.94,193.1,3.3628
7.6412,1380.6,173.93,-22.05,36.006,0.0091698,251.13,193.08,3.3747
7.6912,1389.2,172.83,-21.979,36.272,0.0092982,250.84,193.07,3.3587
7.7412,1397.8,171.74,-21.86,36.537,0.0094259,250.75,193.06,3.3542
7.7912,1406.4,170.65,-21.737,36.801,0.009554,250.57,193.05,3.3444
7.8412,1414.9,169.57,-21.609,37.065,0.0096835,250.73,193.04,3.354
7.8912,1423.4,168.5,-21.485,37.329,0.009816,250.89,193.03,3.3641
7.9412,1431.8,167.43,-21.365,37.591,0.0099524,251,193.02,3.3708
7.9912,1440.1,166.36,-21.249,37.852,0.010093,251.03,193.01,3.3731
8.0412,1448.4,165.31,-21.139,38.112,0.010239,250.92,193.01,3.3672
8.0912,1456.6,164.26,-21.033,38.371,0.010388,250.81,193,3.3614
8.1412,1464.8,163.21,-20.932,38.628,0.010541,250.77,192.99,3.3592
8.1912,1472.9,162.17,-20.834,38.883,0.010696,250.78,192.98,3.3603
8.2412,1481,161.13,-20.739,39.136,0.010851,250.78,192.97,3.3612
8.2912,1489.1,160.1,-21.036,39.388,0.011006,250.85,192.96,3.3653
8.3412,1497,159.05,-22.515,39.639,0.011159,250.97,192.95,3.3732
8.3912,1505,157.93,-22.633,39.888,0.011309,250.97,192.95,3.3732
8.4412,1512.8,156.81,-22.424,40.135,0.011457,250.88,192.95,3.368
8.4912,1520.6,155.69,-22.219,40.382,0.011603,250.84,192.95,3.3657
8.5412,1528.4,154.58,-22.017,40.627,0.011747,250.82,192.95,3.3647
8.5912,1536.1,153.49,-21.82,40.871,0.011891,250.77,192.95,3.3618
8.6412,1543.8,152.4,-21.627,41.114,0.012034,250.69,192.95,3.3572
8.6912,1551.3,151.32,-21.433,41.355,0.012178,250.84,192.95,3.3655
8.7412,1558.9,150.26,-21.246,41.596,0.012324,250.82,192.95,3.3647
8.7912,1566.4,149.2,-21.063,41.835,0.012473,250.8,192.95,3.3633
8.8412,1573.8,148.15,-20.886,42.074,0.012624,250.57,192.95,3.35
8.8912,1581.2,147.11,-20.71,42.311,0.012779,250.54,192.95,3.3484
8.9412,1588.5,146.08,-20.533,42.548,0.012935,250.68,192.95,3.3564
8.9912,1595.8,145.06,-20.358,42.783,0.013094,250.93,192.95,3.3709
9.0412,1603,144.04,-20.187,43.018,0.013254,250.63,192.95,3.3536
9.0912,1610.2,143.04,-20.02,43.251,0.013414,250.44,192.95,3.3427
9.1412,1617.3,142.04,-19.857,43.482,0.013574,250.25,192.95,3.3313
9.1912,1624.4,141.05,-19.7,43.712,0.013734,250.4,192.95,3.3403
9.2412,1631.4,140.07,-19.547,43.94,0.013891,250.55,192.95,3.3485
9.2912,1638.4,139.1,-19.393,44.166,0.014047,250.4,192.95,3.3402
9.3412,1645.3,138.13,-19.244,44.391,0.0142,250.5,192.95,3.3457
9.3912,1652.2,137.17,-19.103,44.615,0.014352,250.75,192.95,3.3607
9.4412,1659.1,136.22,-18.96,44.837,0.014502,250.65,192.95,3.3548
9.4913,1665.8,135.28,-18.819,45.059,0.01465,250.53,192.95,3.3476
9.5413,1672.6,134.34,-18.68,45.28,0.014798,250.46,192.95,3.3438
9.5913,1679.3,133.41,-18.543,45.5,0.014945,250.41,192.95,3.3408
9.6413,1685.9,132.49,-18.408,45.72,0.015093,250.41,192.95,3.3405
9.6913,1692.5,131.57,-18.273,45.939,0.015242,250.52,192.95,3.3474
9.7413,1699.1,130.66,-18.14,46.158,0.015391,250.64,192.95,3.3539
9.7913,1705.6,129.76,-18.011,46.375,0.015543,250.71,192.95,3.3581
9.8413,1712.1,128.86,-17.884,46.592,0.015697,250.73,192.95,3.3596
9.8913,1718.5,127.97,-17.758,46.808,0.015853,250.81,192.95,3.3639
9.9413,1724.9,127.08,-17.635,47.023,0.016011,250.73,192.95,3.3591
9.9913,1731.2,126.2,-17.513,47.237,0.016171,250.66,192.95,3.3552
10.041,1737.5,125.33,-17.393,47.45,0.016333,250.43,192.95,3.3416
10.091,1743.7,124.46,-17.277,47.662,0.016497,250.49,192.95,3.3455
10.141,1749.9,123.6,-17.161,47.873,0.016661,250.38,192.95,3.3388
10.191,1756.1,122.75,-17.048,48.082,0.016825,250.28,192.95,3.3329
10.241,1762.2,121.9,-16.937,48.291,0.016989,250.24,192.95,3.3309
10.291,1768.3,121.05,-16.827,48.498,0.017153,250.12,192.95,3.324
10.341,1774.3,120.22,-16.72,48.704,0.017316,250.26,192.95,3.3321
10.391,1780.3,119.38,-16.618,48.909,0.017478,250.64,192.95,3.3542
10.441,1786.2,118.55,-16.515,49.113,0.017639,250.74,192.95,3.3601
10.491,1792.1,117.73,-16.415,49.316,0.017799,250.57,192.95,3.3502
10.541,1798,116.91,-16.313,49.518,0.017958,250.62,192.95,3.353
10.591,1803.8,116.1,-16.216,49.72,0.018117,250.49,192.95,3.3454
10.641,1809.6,115.29,-16.119,49.921,0.018276,250.4,192.95,3.3401
10.691,1815.4,114.49,-16.023,50.122,0.018435,250.36,192.95,3.3376
10.741,1821.1,113.69,-15.93,50.321,0.018595,250.19,192.95,3.3281
10.791,1826.7,112.89,-15.835,50.521,0.018755,250.28,192.95,3.3333
10.841,1832.4,112.1,-15.742,50.72,0.018916,250.42,192.95,3.341
10.891,1837.9,111.32,-15.65,50.918,0.019077,250.45,192.95,3.3428
10.941,1843.5,110.54,-15.56,51.116,0.01924,250.47,192.95,3.3443
10.991,1849,109.76,-15.472,51.313,0.019404,250.49,192.95,3.3453
11.041,1854.5,108.99,-15.383,51.509,0.019568,250.66,192.95,3.3552
11.091,1859.9,108.23,-15.298,51.705,0.019734,250.59,192.95,3.3513
11.141,1865.3,107.46,-15.212,51.9,0.019901,250.58,192.95,3.3504
11.191,1870.6,106.7,-15.128,52.094,0.02007,250.47,192.95,3.3444
11.241,1876,105.95,-15.045,52.288,0.020239,250.33,192.95,3.3363
11.291,1881.2,105.2,-14.962,52.48,0.020409,250.02,192.95,3.3183
11.341,1886.5,104.45,-14.882,52.671,0.020579,249.99,192.95,3.3161
11.391,1891.7,103.71,-14.805,52.862,0.02075,250.14,192.95,3.3248
11.441,1896.9,102.97,-14.726,53.051,0.020921,249.9,192.95,3.311
11.491,1902,102.24,-14.651,53.24,0.021092,250.03,192.95,3.3183
11.541,1907.1,101.51,-14.578,53.427,0.021264,250.29,192.95,3.3338
11.591,1912.1,100.78,-14.506,53.613,0.021435,250.44,192.95,3.3427
11.641,1917.2,100.06,-14.434,53.799,0.021605,250.56,192.95,3.3495
11.691,1922.1,99.338,-14.361,53.984,0.021776,250.48,192.95,3.3445
11.741,1927.1,98.621,-14.292,54.168,0.021946,250.62,192.95,3.3531
11.791,1932,97.908,-14.225,54.351,0.022115,250.34,192.95,3.3365
11.841,1936.9,97.199,-14.159,54.534,0.022284,250.11,192.95,3.3231
11.891,1941.7,96.492,-14.094,54.717,0.022453,249.82,192.95,3.3064
11.941,1946.5,95.789,-14.029,54.899,0.022621,249.63,192.95,3.2952
11.991,1951.3,95.09,-13.963,55.081,0.022789,249.63,192.95,3.2955
12.041,1956,94.393,-13.9,55.263,0.022957,249.44,192.95,3.2841
12.091,1960.7,93.7,-13.834,55.444,0.023126,249.56,192.95,3.2914
12.141,1965.4,93.01,-13.767,55.626,0.023294,249.82,192.95,3.3064
12.191,1970,92.323,-13.704,55.807,0.023463,249.85,192.95,3.308
12.241,1974.6,91.639,-13.639,55.988,0.023632,250.1,192.95,3.3227
12.291,1979.2,90.959,-13.574,56.168,0.023802,250.55,192.95,3.3487
12.341,1983.7,90.282,-13.512,56.348,0.023973,250.39,192.95,3.3395
12.391,1988.2,89.608,-13.452,56.527,0.024144,250.3,192.95,3.3345
12.441,1992.7,88.937,-13.395,56.705,0.024317,250.44,192.95,3.3426
12.491,1997.1,88.268,-13.335,56.883,0.02449,250.25,192.95,3.3312
12.541,2001.5,87.603,-13.276,57.06,0.024665,249.89,192.95,3.3104
12.591,2005.9,86.941,-13.219,57.236,0.02484,249.74,192.95,3.3016
12.641,2010.2,86.281,-13.164,57.412,0.025017,249.78,192.95,3.304
