1.9813 181.16 160.12 51.331 9.2742 3.6107e-4 258.67 211.91 2.7191
2.0313 189.23 162.68 50.882 9.7794 4.0406e-4 259.35 211.71 2.7696
2.0813 197.42 165.21 50.406 10.298 4.4649e-4 258.92 211.52 2.7561
2.1313 205.75 167.72 49.849 10.831 4.8888e-4 258.13 211.32 2.7212
2.1813 214.19 170.21 49.161 11.38 5.3214e-4 257.49 211.12 2.6956
2.2313 222.77 172.66 48.51 11.948 5.7722e-4 257.45 210.92 2.7052
2.2813 231.46 175.08 47.883 12.533 6.251e-4 257.61 210.72 2.7259
2.3313 240.27 177.46 47.29 13.137 6.7731e-4 258.11 210.52 2.7664
2.3812 249.21 179.82 46.711 13.758 7.3533e-4 258.75 210.32 2.8156
2.4312 258.26 182.15 46.14 14.394 8.0065e-4 259.63 210.12 2.8785
2.4812 267.42 184.45 45.497 15.044 8.739e-4 259.48 209.92 2.8813
2.5312 276.7 186.72 44.825 15.705 9.5518e-4 259 209.72 2.865
2.5812 286.09 188.95 44.133 16.377 0.0010445 258.68 209.53 2.8573
2.6312 295.59 191.15 43.43 17.058 0.0011407 258.34 209.34 2.8492
2.6812 305.21 193.32 42.643 17.746 0.0012424 258.67 209.14 2.8797
2.7312 314.93 195.44 41.663 18.443 0.0013486 259.11 208.95 2.9162
2.7812 324.75 197.51 40.644 19.149 0.0014582 259.75 208.76 2.9647
2.8312 334.68 199.54 39.628 19.865 0.0015703 260.07 208.58 2.994
2.8812 344.7 201.51 38.611 20.592 0.0016847 259.7 208.39 2.9833
2.9312 354.83 203.43 37.6 21.331 0.0018007 259.39 208.2 2.976
2.9812 365.04 205.3 36.619 22.084 0.0019186 259.37 208.02 2.9854
3.0312 375.35 207.12 35.68 22.849 0.0020387 259.75 207.83 3.0184
3.0812 385.75 208.9 34.754 23.626 0.0021618 260.16 207.64 3.0537
3.1312 396.24 210.63 33.835 24.415 0.0022883 260.24 207.45 3.0689
3.1812 406.82 212.32 32.916 25.213 0.0024185 259.88 207.26 3.0589
3.2312 417.47 213.95 31.959 26.02 0.0025529 260.14 207.07 3.0856
3.2812 428.21 215.54 30.99 26.836 0.0026917 260.55 206.88 3.12
3.3312 439.03 217.08 30.049 27.661 0.0028357 260.51 206.69 3.1294
3.3812 449.92 218.58 29.119 28.495 0.0029849 260.54 206.5 3.142
3.4312 460.88 220.03 28.192 29.34 0.0031382 260.5 206.3 3.1513
3.4812 471.92 221.43 27.284 30.194 0.0032952 260.6 206.11 3.168
3.5312 483.03 222.79 26.389 31.057 0.0034563 260.75 205.91 3.1881
3.5812 494.2 224.1 25.502 31.928 0.0036209 260.79 205.72 3.2017
3.6312 505.44 225.37 24.617 32.808 0.0037882 260.79 205.52 3.2131
3.6812 516.73 226.6 23.745 33.696 0.0039568 260.68 205.32 3.2186
3.7312 528.09 227.78 22.84 34.591 0.0041256 260.77 205.13 3.2352
3.7812 539.51 228.91 21.904 35.493 0.0042946 260.83 204.93 3.2497
3.8312 550.98 230 20.951 36.402 0.0044644 260.91 204.75 3.2652
3.8812 562.51 231.04 19.934 37.319 0.0046366 260.8 204.57 3.2694
3.9312 574.09 232.03 18.837 38.244 0.0048138 260.89 204.39 3.2847
3.9812 585.71 232.97 17.754 39.176 0.004999 260.98 204.23 3.2995
4.0312 597.38 233.85 16.693 40.116 0.0051923 261.15 204.06 3.3193
4.0812 609.1 234.68 15.654 41.062 0.0053917 261 203.9 3.3198
4.1312 620.85 235.46 14.611 42.013 0.0055939 260.97 203.73 3.3278
4.1812 632.64 236.19 13.57 42.97 0.0057954 260.98 203.56 3.3384
4.2312 644.47 236.86 12.523 43.931 0.0059943 261.22 203.4 3.3619
4.2812 656.33 237.49 11.489 44.897 0.00619 261.21 203.23 3.3708
4.3312 668.22 238.06 10.458 45.869 0.006383 261.28 203.06 3.3848
4.3812 680.13 238.58 7.7487 46.846 0.0065755 261.33 202.89 3.3977
4.4312 692.07 238.96 4.2228 47.827 0.0067702 261.24 202.74 3.4013
4.4812 704.02 239.18 0.7431 48.813 0.0069717 261.06 202.6 3.3992
4.5312 715.98 239.21 -2.6587 49.803 0.0071834 261.1 202.46 3.4096
4.5812 727.94 239.08 -5.6329 50.795 0.0074065 261.25 202.31 3.4268
4.6312 739.89 238.81 -7.2063 51.79 0.0076392 261.35 202.18 3.4402
4.6812 751.82 238.45 -8.8065 52.785 0.007879 261.19 202.06 3.438
4.7312 763.73 238.02 -10.998 53.78 0.0081227 261.11 201.95 3.4394
4.7812 775.62 237.47 -13.197 54.774 0.008367 260.91 201.86 3.4331
4.8312 787.48 236.82 -15.388 55.767 0.0086091 260.97 201.78 3.4414
4.8812 799.3 236.06 -20.035 56.757 0.0088491 261.14 201.7 3.4555
4.9312 811.07 235.06 -22.024 57.745 0.00909 261.17 201.63 3.4615
4.9812 822.8 233.97 -22.039 58.73 0.0093354 260.88 201.57 3.448
5.0312 834.47 232.88 -22.035 59.713 0.0095871 260.82 201.52 3.4475
5.0812 846.09 231.79 -22.022 60.694 0.0098449 260.85 201.47 3.4525
5.1312 857.65 230.7 -21.996 61.672 0.010108 261.05 201.41 3.467
5.1812 869.16 229.61 -21.992 62.648 0.010375 261.04 201.36 3.4696
5.2312 880.61 228.52 -21.976 63.62 0.010646 260.83 201.3 3.4607
5.2812 892.01 227.43 -21.979 64.589 0.010919 260.73 201.25 3.458
5.3312 903.35 226.34 -21.993 65.554 0.011193 260.71 201.2 3.4601
5.3812 914.64 225.25 -22.02 66.515 0.011467 260.77 201.14 3.4669
5.4312 925.88 224.16 -22.049 67.472 0.01174 260.81 201.09 3.4723
5.4812 937.06 223.06 -22.094 68.426 0.012013 260.7 201.03 3.4689
5.5312 948.18 221.97 -22.15 69.377 0.012286 260.34 200.98 3.4511
5.5812 959.25 220.87 -22.181 70.326 0.01256 260.26 200.93 3.4494
5.6312 970.27 219.77 -22.17 71.274 0.012838 260.66 200.87 3.4762
5.6812 981.23 218.67 -22.164 72.218 0.013122 260.35 200.82 3.461
5.7312 992.14 217.57 -22.195 73.158 0.013414 260.24 200.76 3.458
5.7812 1003 216.47 -22.243 74.093 0.013711 260.27 200.71 3.4632
5.8312 1013.8 215.36 -22.294 75.025 0.014013 260.26 200.65 3.4655
5.8812 1024.5 214.26 -22.372 75.952 0.014316 260.55 200.6 3.4854
5.9312 1035.2 213.15 -22.472 76.875 0.014618 260.06 200.54 3.4605
